method,acc,macro_f1,balanced_acc,runtime_s
patch_context_mlp,0.6383036563816773,0.5563681808667034,0.606335722030976,3.9905530441966324
mlp_head,0.6511561173787626,0.5545935947357692,0.6018578688917178,2.709354288669096
graph_label_propagation,0.6709105462673493,0.5648495961123661,0.6015664182808361,29.19203134150141
residual_boosting,0.6528627308836633,0.5530611101151254,0.596735350394048,43.285978488417136
hybrid_morph_context,0.6472142932656729,0.5564465253505293,0.5950921534798339,4.454268471234375
linear_probe,0.6527570114630057,0.5475511089130671,0.5929134517075609,26.684703147452737
local_context_mlp,0.5154123812544364,0.3975057755768707,0.5099017225194227,5.040522078052163
multiscale_proxy_mlp,0.5315723498406657,0.41963909074241834,0.47912177502103465,7.5496961857295695
