encoder,method,runtime_s,acc,macro_f1,balanced_acc,ablation_group,feature_mode,patch_agg,patch_budget,k,encoders,common_sizes
mae_vitl,graph_label_propagation,28.635184735059738,0.6665760500203888,0.6004771256798334,0.6573942142349751,,,,,,,
mae_vitl,ablate_graph_k8,30.575271625071764,0.6665760500203888,0.6004771256798334,0.6573942142349751,graph_k,,,,8.0,,
provgigapath,local_context_mlp,4.249959675595164,0.660459426396629,0.6115070964873971,0.6572701611316724,,,,,,,
dinov2_vitl,ablate_patchfeat_cell_only,2.902993256226182,0.672013048797064,0.5975694139790246,0.6568867914970221,feature_mode,cell_only,,,,,
provgigapath,ablate_patchfeat_cell_only,1.8137762043625116,0.6615468261519641,0.6147427825548831,0.6560962462917016,feature_mode,cell_only,,,,,
mae_vitl,mlp_head,2.5484220888465643,0.6415658556476824,0.5873432723989281,0.6550379776886895,,,,,,,
vit_large_patch16_224,ablate_localctx_k8,4.1422687247395515,0.7323637352181596,0.6476123236238673,0.654789703833115,localctx_k,,,,8.0,,
mae_vitl,ablate_graph_k12,30.502704368904233,0.6653527252956368,0.5987851317485325,0.6540828883805129,graph_k,,,,12.0,,
dinov2_vitl,mlp_head,2.868812784552574,0.6563816773141226,0.5894177901149451,0.6537342692201732,,,,,,,
virchow2,residual_boosting,33.5256075207144,0.6509446785374473,0.5950651528620364,0.6532005430005469,,,,,,,
virchow2,ablate_graph_k4,26.75762999802828,0.6624983009378823,0.6073016209281742,0.653081783936881,graph_k,,,,4.0,,
virchow2,ablate_graph_k12,26.384732633829117,0.6624983009378823,0.613319781651909,0.6527929574065742,graph_k,,,,12.0,,
provgigapath,graph_label_propagation,16.502945199608803,0.6963436183226859,0.6276390538446485,0.652771882052562,,,,,,,
provgigapath,ablate_graph_k8,16.18158041127026,0.6963436183226859,0.6276390538446485,0.652771882052562,graph_k,,,,8.0,,
vit_large_patch16_224,linear_probe,13.65405622497201,0.6872366453717548,0.6149845660345913,0.6522950276038814,,,,,,,
virchow2,graph_label_propagation,29.11868279799819,0.6633138507543835,0.6114205270788121,0.6521311795883716,,,,,,,
virchow2,ablate_graph_k8,26.361477667465806,0.6633138507543835,0.6114205270788121,0.6521311795883716,graph_k,,,,8.0,,
conch,ablate_patchagg_max,3.2583029735833406,0.6664401250509718,0.5960968720349982,0.6520559864775409,patch_agg,,max,,,,
virchow2,ablate_patchbudget_300,4.428172370418906,0.6595079516107109,0.5904002753401038,0.6517302163307556,patch_budget,,,300.0,,,
provgigapath,ablate_graph_k12,16.156116779893637,0.6966154682615197,0.6283837378609699,0.6509718595574446,graph_k,,,,12.0,,
mae_vitl,ablate_patchbudget_200,2.920142512768507,0.6600516514883784,0.589564596332201,0.6507065881775548,patch_budget,,,200.0,,,
provgigapath,ablate_localctx_k8,3.6234931517392397,0.719179013184722,0.5991552857000614,0.6503711153547419,localctx_k,,,,8.0,,
dinov2_vitl,residual_boosting,32.38305476307869,0.6726926736441484,0.5997588335440058,0.6503239522537838,,,,,,,
