encoder,delta_acc_vs_mlp,delta_bal_vs_mlp,delta_acc_vs_linear,delta_bal_vs_linear
provgigapath,-0.03588419192605685,-0.011664340968961184,-0.03248606769063478,0.01655733639913104
virchow2,0.011825472339268783,-0.01157873934652287,0.04906891395949442,0.022375682916548678
uni,0.010330297675683053,0.03406606769872511,-0.06932173440260969,-0.05554045572826788
ctranspath,-0.036835666711975024,0.07958239702433179,-0.05002038874541259,0.08700714392225845
dinov2_vitl,0.005165148837841582,-0.018432925287037327,-0.009514747859181716,-0.010791268106669638
mae_vitl,0.014679896697023298,0.006091175809014637,-0.0009514747859181716,0.0023554487659506185
vit_large_patch16_224,-0.0371075166508088,-0.02804213202720407,-0.043224140274568446,-0.00390624097298764
resnet50,0.028952018485795872,0.009711131609664858,0.05953513660459431,0.05467298676801191
conch,-0.07679760772053823,-0.0194319562586871,-0.03316569253771917,0.008069798946760187
